run_name,闭合状态,Excel位置,本地metrics路径,建议处理,缺失解释分类,替代run线索
remote_codegemma_2b_e1__has_vul__direct,Excel有-本地镜像缺失,全部结果指标!R94,,artifacts/remote_codegemma_2b_e1__has_vul__direct/镜像缺失；若正文引用，需重新定位或补拉结果,artifacts/remote_codegemma_2b_e1__has_vul__direct/同方法替代run,"remote_codegemma_2b_e1_gpu4_retry__has_vul__direct, machine_a_codegemma2b_e1__has_vul__direct"
remote_codegemma_2b_e1_gpu4_retry__has_vul__direct,双向闭合,全部结果指标!R95; has指标!R32,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__has_vul__direct/metrics.json,可作为闭合结果,,
remote_codegemma_2b_e1_gpu4_retry__has_vul__full,双向闭合,应跑缺口明细!R139; 全部结果指标!R97; has指标!R33,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__has_vul__full/metrics.json,可作为闭合结果,,
remote_codegemma_2b_e1_gpu4_retry__has_vul__prompt,双向闭合,全部结果指标!R99; has指标!R35,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__has_vul__prompt/metrics.json,可作为闭合结果,,
remote_codegemma_2b_e1_gpu4_retry__has_vul__qlora,双向闭合,应跑缺口明细!R140; 全部结果指标!R100; has指标!R36,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__has_vul__qlora/metrics.json,可作为闭合结果,,
remote_codegemma_2b_e1_gpu4_retry__vul_line__direct,Excel有-本地镜像缺失,应跑缺口明细!R145; 全部结果指标!R101; line指标!R26,,artifacts/remote_codegemma_2b_e1_gpu4_retry__vul_line__direct/镜像缺失；若正文引用，需重新定位或补拉结果,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_line__direct/metrics.json,
remote_codegemma_2b_e1_gpu4_retry__vul_line__full,双向闭合,应跑缺口明细!R147; 全部结果指标!R102; line指标!R27,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_line__full/metrics.json,可作为闭合结果,,
remote_codegemma_2b_e1_gpu4_retry__vul_line__prompt,双向闭合,应跑缺口明细!R146; 全部结果指标!R103; line指标!R28,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_line__prompt/metrics.json,可作为闭合结果,,
remote_codegemma_2b_e1_gpu4_retry__vul_line__qlora,Excel有-本地镜像缺失,应跑缺口明细!R148; 全部结果指标!R104; line指标!R29,,artifacts/remote_codegemma_2b_e1_gpu4_retry__vul_line__qlora/镜像缺失；若正文引用，需重新定位或补拉结果,表内历史记录或镜像缺失，需按正文是否引用决定是否补拉,
remote_codegemma_2b_e1_gpu4_retry__vul_type__direct,双向闭合,应跑缺口明细!R141; 全部结果指标!R105; type指标!R31,artifacts/metrics/remote_codegemma_2b_e1_gpu4_retry__vul_type__direct/metrics.json,可作为闭合结果,,
