accuracy,avg_candidates_per_contract,best_checkpoint,candidate_recall,contract_hit,f1,macro_f1,macro_precision,macro_recall,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_precision,multi_label_predictions_file,multi_label_recall,precision,predictions_file,recall,run_name,runtime_minutes,strict_f1,strict_precision,strict_recall,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,train_examples,val_examples,任务,任务类型,可用于补齐前后对比,完成时间,执行机器,数据版本说明,方法,本地metrics路径,本地summary,来源,模型,状态,系列,补齐前6组标记,补齐阶段说明
,91.43866171003718,,0.7914485767909362,0.31474597273853777,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_15b_e1__vul_line__direct/predictions.jsonl,,remote_starcoder2_15b_e1__vul_line__direct,2088.7983764,0.06429474444645114,0.073523,0.057125,807,0.1266629351508354,0.212722,0.09018,,,vul_line,line,,46159.47698789352,compute_node_c,,direct,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__direct/metrics.json,artifacts/summaries/remote_starcoder2_15b_e1__vul_line__direct/matrix_summary.json,matrix_summary,bigcode/starcoder2-15b,completed,StarCoder2,,
,91.43866171003718,,0.7914485767909362,0.22057001239157373,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_15b_e1__vul_line__prompt/predictions.jsonl,,remote_starcoder2_15b_e1__vul_line__prompt,2126.372471766667,0.03937150081271447,0.045023,0.034981,807,0.09291962083177392,0.163982,0.064827,,,vul_line,line,,46160.95363548611,compute_node_c,,prompt,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__prompt/metrics.json,artifacts/summaries/remote_starcoder2_15b_e1__vul_line__prompt/matrix_summary.json,matrix_summary,bigcode/starcoder2-15b,completed,StarCoder2,,
,91.43866171003718,artifacts/checkpoints/remote_starcoder2_15b_e1__vul_line__qlora/checkpoint-22502,0.7914485767909362,0.8116480793060719,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_15b_e1__vul_line__qlora/predictions_test.jsonl,,remote_starcoder2_15b_e1__vul_line__qlora,1122.0254410833334,0.24417554632472455,0.279223,0.216945,807,0.3819924789582197,0.515903,0.303273,10155,1529,vul_line,line,,46161.73281987268,compute_node_c,,qlora,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__qlora/metrics.json,artifacts/summaries/remote_starcoder2_15b_e1__vul_line__qlora/matrix_summary.json,matrix_summary,bigcode/starcoder2-15b,completed,StarCoder2,,
,91.43866171003718,,0.7914485767909362,0.20693928128872366,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__direct/predictions.jsonl,,remote_starcoder2_3b_e1__vul_line__direct,715.9494130666667,0.022756005056890013,0.026022,0.020218,807,0.07790057642473754,0.115655,0.058729,,,vul_line,line,,46160.73336253472,compute_node_c,,direct,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__direct/metrics.json,artifacts/summaries/remote_starcoder2_3b_e1__vul_line__direct/matrix_summary.json,matrix_summary,bigcode/starcoder2-3b,completed,StarCoder2,,
,91.43866171003718,artifacts/checkpoints/remote_starcoder2_3b_e1__vul_line__full/checkpoint-22502,0.7914485767909362,0.8128872366790583,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__full/predictions_test.jsonl,,remote_starcoder2_3b_e1__vul_line__full,805.9395787,0.28101860213111796,0.321355,0.249679,807,0.38594259055770824,0.483271,0.321245,10155,1529,vul_line,line,,46161.78920390047,compute_node_c,,full,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__full/metrics.json,artifacts/summaries/remote_starcoder2_3b_e1__vul_line__full/matrix_summary.json,matrix_summary,bigcode/starcoder2-3b,completed,StarCoder2,,
,91.43866171003718,,0.7914485767909362,0.33209417596034696,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__prompt/predictions.jsonl,,remote_starcoder2_3b_e1__vul_line__prompt,714.47179115,0.06610077659382338,0.075589,0.058729,807,0.13907230122300657,0.227592,0.100128,,,vul_line,line,,46161.22952356481,compute_node_c,,prompt,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__prompt/metrics.json,artifacts/summaries/remote_starcoder2_3b_e1__vul_line__prompt/matrix_summary.json,matrix_summary,bigcode/starcoder2-3b,completed,StarCoder2,,
,91.43866171003718,artifacts/checkpoints/remote_starcoder2_3b_e1__vul_line__qlora/checkpoint-22502,0.7914485767909362,0.7447335811648079,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__qlora/predictions_test.jsonl,,remote_starcoder2_3b_e1__vul_line__qlora,311.8176388666667,0.21166696767202456,0.242049,0.188062,807,0.3413371130781332,0.484511,0.263479,10155,1529,vul_line,line,,46162.00574399305,compute_node_c,,qlora,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__qlora/metrics.json,artifacts/summaries/remote_starcoder2_3b_e1__vul_line__qlora/matrix_summary.json,matrix_summary,bigcode/starcoder2-3b,completed,StarCoder2,,
,91.43866171003718,,0.7914485767909362,0.23296158612143741,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_7b_e1__vul_line__direct/predictions.jsonl,,remote_starcoder2_7b_e1__vul_line__direct,1085.63289715,0.041899945819035576,0.047914,0.037227,807,0.09749792262948942,0.178439,0.067073,,,vul_line,line,,46158.34002634259,compute_node_c,,direct,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__direct/metrics.json,artifacts/summaries/remote_starcoder2_7b_e1__vul_line__direct/matrix_summary.json,matrix_summary,bigcode/starcoder2-7b,completed,StarCoder2,,
,91.43866171003718,,0.7914485767909362,0.2094175960346964,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_7b_e1__vul_line__prompt/predictions.jsonl,,remote_starcoder2_7b_e1__vul_line__prompt,1091.9522597333334,0.044067184395882246,0.050392,0.039153,807,0.08926145473503952,0.168938,0.060655,,,vul_line,line,,46159.0983265625,compute_node_c,,prompt,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__prompt/metrics.json,artifacts/summaries/remote_starcoder2_7b_e1__vul_line__prompt/matrix_summary.json,matrix_summary,bigcode/starcoder2-7b,completed,StarCoder2,,
,91.43866171003718,artifacts/checkpoints/remote_starcoder2_7b_e1__vul_line__qlora/checkpoint-22502,0.7914485767909362,0.7806691449814126,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_7b_e1__vul_line__qlora/predictions_test.jsonl,,remote_starcoder2_7b_e1__vul_line__qlora,579.1747540833334,0.22394798627415566,0.256093,0.198973,807,0.36921541648396505,0.494424,0.294608,10155,1529,vul_line,line,,46159.50053130787,compute_node_c,,qlora,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__qlora/metrics.json,artifacts/summaries/remote_starcoder2_7b_e1__vul_line__qlora/matrix_summary.json,matrix_summary,bigcode/starcoder2-7b,completed,StarCoder2,,
